"analysis_date","data_identifier","replicate_no","integration_time_s","dilution","RSU_area_1s","long_term_name"
"2023-09-13","BLK2309132",1,5,1,1466.40498,"2023_09_13_BLK2309132"
"2023-09-13","BLK202309131",1,5,1,1505.8354,"2023_09_13b_BLK202309131"
"2023-09-13","BLK202309132",1,5,1,1505.8354,"2023_09_13b_BLK202309132"
"2023-09-13","BLK202309133",1,5,1,1505.8354,"2023_09_13b_BLK202309133"
"2023-09-14","BLK2309141",1,5,1,1426.66072,"2023_09_14_BLK2309141"
"2023-09-14","BLK2309142",1,5,1,1426.66072,"2023_09_14_BLK2309142"
NA,"BLK2309151",1,5,1,1443.77233,"2023_09_15_BLK2309151"
NA,"BLK2309152",1,5,1,1443.77233,"2023_09_15_BLK2309152"
NA,"BLK2309153",1,5,1,1443.77233,"2023_09_15_BLK2309153"
"2023-09-15","BLK230915b1",1,5,1,1426.47116,"2023_09_15b_BLK230915b1"
"2023-09-15","BLK230915b2",1,5,1,1426.47116,"2023_09_15b_BLK230915b2"
"2023-09-15","BLK230915b3",1,5,1,1426.47116,"2023_09_15b_BLK230915b3"
"2023-09-17","BLK2309171",1,5,1,1405.9593,"2023_09_17_BLK2309171"
"2023-09-17","BLK2309172",1,5,1,1405.9593,"2023_09_17_BLK2309172"
"2023-09-17","BLK2309173",1,5,1,1405.9593,"2023_09_17_BLK2309173"
"2023-09-20","BLK2309201",1,5,1,2091.15216,"2023_09_20_BLK2309201"
"2023-09-20","BLK2309202",1,5,1,2091.15216,"2023_09_20_BLK2309202"
"2023-09-27","BLK2309271",1,5,1,1971.46333,"2023_09_27_BLK2309271"
"2023-09-27","BLK2309272",1,5,1,1971.46333,"2023_09_27_BLK2309272"
"2023-09-27","BLK2309273",1,5,1,1971.46333,"2023_09_27_BLK2309273"
"2023-09-28","BLK2309281",1,5,1,1930.44467,"2023_09_28_BLK2309281"
"2023-09-28","BLK2309282",1,5,1,1930.44467,"2023_09_28_BLK2309282"
"2023-09-28","BLK2309283",1,5,1,1930.44467,"2023_09_28_BLK2309283"
"2023-09-28","BLK2309281",1,5,1,1899.13631,"2023_09_28b_BLK2309281"
"2023-09-28","BLK2309282",1,5,1,1899.13631,"2023_09_28b_BLK2309282"
"2023-09-28","BLK2309283",1,5,1,1899.13631,"2023_09_28b_BLK2309283"
"2023-09-29","BLK2309291",1,5,1,2094.34695,"2023_09_29_BLK2309291"
"2023-09-29","BLK2309292",1,5,1,2094.34695,"2023_09_29_BLK2309292"
"2023-09-29","BLK2309293",1,5,1,2094.34695,"2023_09_29_BLK2309293"
"2023-09-29","BLK2309291",1,5,1,2117.4524,"2023_09_29b_BLK2309291"
"2023-09-29","BLK2309292",1,5,1,2117.4524,"2023_09_29b_BLK2309292"
"2023-09-29","BLK2309293",1,5,1,2117.4524,"2023_09_29b_BLK2309293"
"2023-09-30","BLK2309301",1,5,1,2165.54943,"2023_09_30_BLK2309301"
"2023-09-30","BLK202309302",1,5,1,2165.54943,"2023_09_30_BLK202309302"
"2023-10-01","BLK2310011",1,5,1,2273.78138,"2023_10_01_BLK2310011"
"2023-10-01","BLK2310012",1,5,1,2273.78138,"2023_10_01_BLK2310012"
"2023-10-01","BLK2310013",1,5,1,2273.78138,"2023_10_01_BLK2310013"
"2023-10-02","BLK2310021",1,5,1,1957.60283,"2023_10_02_BLK2310021"
"2023-10-02","BLK2310022",1,5,1,1957.60283,"2023_10_02_BLK2310022"
"2023-10-02","BLK2310023",1,5,1,1957.60283,"2023_10_02_BLK2310023"
"2023-12-13","BLK2312131",1,5,1,1785.6007,"2023_12_13_BLK2312131"
"2023-12-13","BLK2312132",1,5,1,1785.6007,"2023_12_13_BLK2312132"
"2023-12-13","BLK231213",1,5,1,1785.6007,"2023_12_13_BLK231213"
"2023-12-15","BLK2312151",1,5,1,1917.03375,"2023_12_15_BLK2312151"
"2023-12-15","BLK2312152",1,5,1,1917.03375,"2023_12_15_BLK2312152"
"2023-12-15","BLK2312153",1,5,1,1917.03375,"2023_12_15_BLK2312153"
"2023-12-15","BLK2312151",1,5,1,1878.86902,"2023_12_15b_BLK2312151"
"2023-12-15","BLK2312152",1,5,1,1878.86902,"2023_12_15b_BLK2312152"
"2023-12-15","BLK2312153",1,5,1,1878.86902,"2023_12_15b_BLK2312153"
"2023-12-18","BLK2312181",1,5,1,1738.10131,"2023_12_18_BLK2312181"
"2023-12-18","BLK2312182",1,5,1,1738.10131,"2023_12_18_BLK2312182"
"2023-12-18","BLK2312183",1,5,1,1738.10131,"2023_12_18_BLK2312183"
"2023-12-19","BLK2312191",1,5,1,19234.33103,"2023_12_19_BLK2312191"
"2023-12-19","BLK2312191",1,5,1,1915.76051,"2023_12_19b_BLK2312191"
"2023-12-19","BLK2312192",1,5,1,1915.76051,"2023_12_19b_BLK2312192"
"2023-12-19","BLK2312193",1,5,1,1915.76051,"2023_12_19b_BLK2312193"
"2024-01-22","BLK2401221",1,5,1,1882.86485,"2024_01_22_BLK2401221"
"2024-01-22","BLK2401222",1,5,1,1882.86485,"2024_01_22_BLK2401222"
"2024-01-22","BLK2401223",1,5,1,1882.86485,"2024_01_22_BLK2401223"
NA,"BLK2405071",1,5,1,2120.99553,"2024_05_07_BLK2405071"
NA,"BLK2405072",1,5,1,2120.99553,"2024_05_07_BLK2405072"
NA,"BLK2405073",1,5,1,2120.99553,"2024_05_07_BLK2405073"
"2024-05-08","BLK2405081",1,5,1,1884.03738,"2024_05_08_BLK2405081"
"2024-05-08","BLK2405082",1,5,1,1884.03738,"2024_05_08_BLK2405082"
"2024-05-08","BLK2405083",1,5,1,1884.03738,"2024_05_08_BLK2405083"
"2024-05-09","BLK2405091",1,5,1,1897.02096,"2024_05_09_BLK2405091"
"2024-05-09","BLK2405092",1,5,1,1897.02096,"2024_05_09_BLK2405092"
"2024-05-09","BLK2405093",1,5,1,1897.02096,"2024_05_09_BLK2405093"
NA,"BLK2405101",1,5,1,2045.11617,"2024_05_10_BLK2405101"
NA,"BLK2405102",1,5,1,2045.11617,"2024_05_10_BLK2405102"
NA,"BLK2405103",1,5,1,2045.11617,"2024_05_10_BLK2405103"
"2024-05-13","BLK2405131",1,5,1,1935.55592,"2024_05_13_BLK2405131"
"2024-05-13","BLK2405132",1,5,1,1935.55592,"2024_05_13_BLK2405132"
"2024-05-13","BLK2405133",1,5,1,1935.55592,"2024_05_13_BLK2405133"
"2024-05-14","BLK2405141",1,5,1,1963.07841,"2024_05_14_BLK2405141"
"2024-05-14","BLK2405142",1,5,1,1963.07841,"2024_05_14_BLK2405142"
"2024-05-14","BLK2405143",1,5,1,1963.07841,"2024_05_14_BLK2405143"
"2024-05-17","BLK2405171",1,5,1,1818.38263,"2024_05_17b_BLK2405171"
"2024-05-17","BLK2405172",1,5,1,1818.38263,"2024_05_17b_BLK2405172"
"2024-05-17","BLK2405173",1,5,1,1818.38263,"2024_05_17b_BLK2405173"
