"analysis_date","data_identifier","replicate_no","integration_time_s","dilution","RSU_area_1s"
"2023-03-15","2023_03_15_postTea230315",1,5,1,1560.56389
"2023-03-16","2023_03_16_preTea230316",1,5,1,1392.04513
"2023-03-16","2023_03_16_postTea230316",1,5,1,1392.04513
"2023-03-16","2023_03_16b_preTea230316",1,5,1,1386.17864
"2023-03-17","2023_03_17_preTea230317",1,5,1,1683.02838
"2023-03-17","2023_03_17_postTea230317",1,5,1,1683.02838
"2023-03-17","2023_03_17b_preTea230317",1,5,1,1677.54753
"2023-03-17","2023_03_17b_postTea230317",1,5,1,1677.54753
"2023-03-20","2023_03_20_preTea230320",1,5,1,1539.00247
"2023-03-20","2023_03_20_postTea230320",1,5,1,1539.00247
"2023-03-20","2023_03_20b_preTea230320",1,5,1,1540.96053
"2023-03-20","2023_03_20b_postTea230320",1,5,1,1540.96053
"2023-03-21","2023_03_21_preTea230321",1,5,1,1442.73408
"2023-03-21","2023_03_21_postTea230321",1,5,1,1442.73408
"2023-03-24","2023_03_24b_preTea230324",1,5,1,1408.73271
"2023-03-24","2023_03_24b_postTea230324",1,5,1,1408.73271
"2023-06-12","2023_06_12_preTea230612",1,5,1,1482.32302
"2023-06-12","2023_06_12_postTea230612",1,5,1,1482.32302
"2023-06-12","2023_06_12b_preTea230612",1,5,1,1471.31722
"2023-06-13","2023_06_13_preTea230613",1,5,1,1440.23393
"2023-06-13","2023_06_13_postTea230613",1,5,1,1440.23393
"2023-06-13","2023_06_13b_preTea230613",1,5,1,1378.91317
"2023-06-14","2023_06_14_preTea230614",1,5,1,1419.83331
"2023-06-14","2023_06_14_postTea230614",1,5,1,1419.83331
"2023-06-14","2023_06_14b_preTea230614",1,5,1,1422.90775
"2023-06-14","2023_06_14b_postTea230614",1,5,1,1422.90775
NA,"2023_06_15_preTea230615",1,5,1,1413.68568
NA,"2023_06_15_postTea230615",1,5,1,1413.68568
"2023-06-15","2023_06_15b_preTea230615",1,5,1,1383.19564
"2023-06-15","2023_06_15b_postTea230615",1,5,1,1383.19564
"2023-06-17","2023_06_17_preTea",1,5,1,1638.43664
"2023-06-17","2023_06_17_postTea",1,5,1,1638.43664
"2023-06-18","2023_06_18_preTea230618",1,5,1,1407.40442
"2023-06-21","2023_06_21_preTea",1,5,1,1427.56427
"2023-06-21","2023_06_21_postTea",1,5,1,1427.56427
"2023-07-14","2023_07_14_preTea230714",1,5,1,1399.66793
"2023-07-14","2023_07_14_postTea230714",1,5,1,1399.66793
"2023-09-12","2023_09_12_preTea230912",1,5,1,1501.92319
"2023-09-12","2023_09_12_postTea230912",1,5,1,1501.92319
"2023-09-13","2023_09_13_preTea230913",1,5,1,1466.40498
"2023-09-13","2023_09_13_postTea230913",1,5,1,1466.40498
"2023-09-13","2023_09_13b_preTea20230913",1,5,1,1505.8354
"2023-09-13","2023_09_13b_postTea20230913",1,5,1,1505.8354
"2023-09-14","2023_09_14_preTea230914",1,5,1,1426.66072
NA,"2023_09_15_preTea20230915",1,5,1,1443.77233
NA,"2023_09_15_postTea230915",1,5,1,1443.77233
"2023-09-15","2023_09_15b_preTea230915b",1,5,1,1426.47116
"2023-09-15","2023_09_15b_postTea230915b",1,5,1,1426.47116
"2023-09-20","2023_09_20_preTea230920",1,5,1,2091.15216
"2023-09-20","2023_09_20_postTea230920",1,5,1,2091.15216
"2023-09-27","2023_09_27_preTea230927",1,5,1,1971.46333
"2023-09-27","2023_09_27_postTea230927",1,5,1,1971.46333
"2023-09-28","2023_09_28_preTea230928",1,5,1,1930.44467
"2023-09-28","2023_09_28_postTea230928",1,5,1,1930.44467
"2023-09-28","2023_09_28b_preTea230928",1,5,1,1899.13631
"2023-09-28","2023_09_28b_postTea230928",1,5,1,1899.13631
"2023-09-29","2023_09_29_preTea230929",1,5,1,2094.34695
"2023-09-29","2023_09_29_postTea230929",1,5,1,2094.34695
"2023-09-29","2023_09_29b_preTea230929",1,5,1,2117.4524
"2023-09-29","2023_09_29b_postTea230929",1,5,1,2117.4524
"2023-09-30","2023_09_30_preTea230930",1,5,1,2165.54943
"2023-09-30","2023_09_30_postTea20230930",1,5,1,2165.54943
"2023-10-01","2023_10_01_preTea231001",1,5,1,2273.78138
"2023-10-01","2023_10_01_postTea231001",1,5,1,2273.78138
"2023-10-02","2023_10_02_preTea231002",1,5,1,1957.60283
"2023-10-02","2023_10_02_postTea231002",1,5,1,1957.60283
"2023-12-13","2023_12_13_preTea231213",1,5,1,1785.6007
"2023-12-13","2023_12_13_postTea231213",1,5,1,1785.6007
"2023-12-18","2023_12_18_preTea",1,5,1,1738.10131
"2023-12-18","2023_12_18_postTea",1,5,1,1738.10131
"2023-12-19","2023_12_19_preTea231219",1,5,1,19234.33103
"2023-12-19","2023_12_19b_preTea231219",1,5,1,1915.76051
"2023-12-19","2023_12_19b_postTea231219",1,5,1,1915.76051
"2024-01-22","2024_01_22_preTea240122",1,5,1,1882.86485
"2024-01-22","2024_01_22_postTea240122",1,5,1,1882.86485
NA,"2024_05_07_preTea240507",1,5,1,2120.99553
NA,"2024_05_07_postTea240507",1,5,1,2120.99553
"2024-05-09","2024_05_09_preTea240509",1,5,1,1897.02096
"2024-05-09","2024_05_09_postTea240509",1,5,1,1897.02096
NA,"2024_05_10_preTea240510",1,5,1,2045.11617
NA,"2024_05_10_postTea240510",1,5,1,2045.11617
"2024-05-13","2024_05_13_preTea240513",1,5,1,1935.55592
"2024-05-13","2024_05_13_postTea240513",1,5,1,1935.55592
"2024-05-14","2024_05_14_preTea240514",1,5,1,1963.07841
"2024-05-14","2024_05_14_postTea240514",1,5,1,1963.07841
"2024-05-17","2024_05_17b_preTea240517",1,5,1,1818.38263
"2024-05-17","2024_05_17b_postTea240517",1,5,1,1818.38263
